Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Age group (product.metafields.shopify.age-group),Canopy material (product.metafields.shopify.canopy-material),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
greetings-t-shirt-youth-girls,,,,,,,,,YM,,,Pastel Green,,,,,01-TPTS-GRTNGS-YG-GRN-YM,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000073476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0028_P1122836_ef5985a3-8366-4693-a125-847ebc3ab37d.png?v=1693455146,oz,,6.50,
greetings-t-shirt-youth-girls,,,,,,,,,YM,,,Pastel Purple,,,,,01-TPTS-GRTNGS-YG-PUR-YM,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000073513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0048_P1122806_aac98ae5-5297-4e50-a4c4-5d1358288cfe.png?v=1693455168,oz,,6.50,
greetings-t-shirt-youth-girls,,,,,,,,,YL,,,Pastel Green,,,,,01-TPTS-GRTNGS-YG-GRN-YL,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000073483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0028_P1122836_ef5985a3-8366-4693-a125-847ebc3ab37d.png?v=1693455146,oz,,6.50,
greetings-t-shirt-youth-girls,,,,,,,,,YL,,,Pastel Purple,,,,,01-TPTS-GRTNGS-YG-PUR-YL,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000073520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0048_P1122806_aac98ae5-5297-4e50-a4c4-5d1358288cfe.png?v=1693455168,oz,,6.50,
hafaloha-neon-t-shirt-youth-girls,Hafaloha Neon T-Shirt - Youth Girls,"<div><br></div>
<ul>
<li>Material: Coolpass Dri-fit</li>
<li>Sizes: Youth X-Small - Youth Large</li>
<li><em><strong>MATCHING HAT! </strong></em></li>
</ul>",Hafaloha,Apparel & Accessories > Clothing > Clothing Tops,T-Shirt,"Aloha, closeout-sale, Girls, hafaloha, Neon",true,Size,YXS,,,,,,,,01-TPTS-HANEON-YG-BLK-YXS,198.446661875,shopify,deny,manual,32.00,,true,false,,,,,'100000073612,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0038_P1122822_0bce2020-7a5d-46e4-8966-aadf1b75a976.png?v=1693457929,1,"",false,,,,,,,,,,,,,,kids,,,,,,,yxs; ys; ym; yl,short,female,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0038_P1122822_0bce2020-7a5d-46e4-8966-aadf1b75a976.png?v=1693457929,oz,,6.50,active
hafaloha-neon-t-shirt-youth-girls,,,,,,,,,YS,,,,,,,,01-TPTS-HANEON-YG-BLK-YS,198.446661875,shopify,deny,manual,32.00,,true,false,,,,,'100000073629,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0037_P1122823_ceb0c278-beb0-48f8-9cc6-85aaf98bae3f.png?v=1693457929,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0038_P1122822_0bce2020-7a5d-46e4-8966-aadf1b75a976.png?v=1693457929,oz,,6.50,
hafaloha-neon-t-shirt-youth-girls,,,,,,,,,YM,,,,,,,,01-TPTS-HANEON-YG-BLK-YM,198.446661875,shopify,deny,manual,32.00,,true,false,,,,,'100000073636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0038_P1122822_0bce2020-7a5d-46e4-8966-aadf1b75a976.png?v=1693457929,oz,,6.50,
hafaloha-neon-t-shirt-youth-girls,,,,,,,,,YL,,,,,,,,01-TPTS-HANEON-YG-BLK-YL,198.446661875,shopify,deny,manual,32.00,,true,false,,,,,'100000073643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0038_P1122822_0bce2020-7a5d-46e4-8966-aadf1b75a976.png?v=1693457929,oz,,6.50,
hafaloha-neon-tank-top-ladies,Hafaloha Neon Tank Top - Ladies,"<div>
<ul>
<li style=""font-weight: bold; font-style: italic;""><em><strong>CLOSE OUT SALE - Original Price $35</strong></em></li>
</ul>
</div>
<ul>
<li>Material: Dri-fit</li>
<li>Sizes: Adult X-Small - 2XL</li>
<li>Black: Black &amp; White</li>
</ul>",Hafaloha,Apparel & Accessories > Clothing > Clothing Tops,Tank Top,"Adult, Aloha, closeout-sale, Hafa Adai, hafaloha, Ladies, Neon",true,Size,XS,,Color,BLK,,,,,01-TSTT-HANEON-WM-BLK-XS,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067574,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0040_P1122818_dcfd9d0d-6c92-486c-bee8-f9984a14d645.png?v=1698188262,1,"",false,,,,,,,,,,,,,,adults,,,,,,,xs; s; m; l; xl; 2xl,short,female,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0040_P1122818_dcfd9d0d-6c92-486c-bee8-f9984a14d645.png?v=1698188262,oz,,6.50,active
hafaloha-neon-tank-top-ladies,,,,,,,,,XS,,,WHT,,,,,01-TSTT-HANEON-WM-WHT-XS,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000067635,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0039_P1122820_47984050-779c-419c-8348-27f5b37dd820.png?v=1698188263,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0042_P1122814_dde097cf-ac6a-4f9f-a2f2-c4b7ce8ada21.png?v=1698188263,oz,,6.50,
